1,2259,159644
10,5182,11165
11,2625,104061
12,495,990
13,8519,32066
14,1583,3166
15,997,1994
16,2161,35814
17,3850,29676
18,155,620
19,582,2328
2,3554,3903
20,1902,8869
21,6434,25969
22,5087,33131
23,3070,46515
24,688,1376
25,1140,34140
26,3955,9077
27,4557,125433
28,5222,221888
29,3189,260246
3,263,16832
30,271,542
31,1796,2075
32,4313,37798
33,251,16064
34,9676,31198
35,5088,9548
36,3578,22232
37,2857,13598
38,68,544
39,866,1732
4,1159,2318
40,5616,374861
41,7346,122535
42,3980,179278
43,2475,29348
44,3338,60532
45,2340,2735
46,1540,11846
47,1356,3210
48,187,1496
49,1432,22912
5,4633,9015
6,2397,88167
7,702,2808
8,1048,23485
9,1143,2286
100,285,486
50,464,559
51,496,2788
52,92,2944
53,1818,5968
54,8198,10060
55,482,12448
56,663,17059
57,3644,34004
58,313,2264
59,7153,204691
60,22186,137051
61,9156,28640
62,822,4786
63,4901,8909
64,15844,268349
65,3105,3459
66,727,79600
67,1724,2824
68,7673,101703
69,966,2295
70,1589,24774
71,2911,11071
72,8049,79478
73,41035,69974
74,479,499
75,6991,10663
76,1111,3788
77,2876,43922
78,8734,12637
79,231,308
80,5594,28713
81,2449,155536
82,145370,626130
83,18626,27457
84,1799,55759
85,1146,2264
86,2671,7130
87,1485,31122
88,18275,24147
89,32717,55467
90,5604,13081
91,7418,29776
92,278,552
93,2825,104715
94,11342,59812
95,50477,94721
96,16977,35111
97,119763,212466
98,3803,18510
99,206,699
